Date,Pattern,Timeframe,Direction,Entry,Stop,Target,Correction_Pct,Risk_Reward,EMA_Aligned,MACD_Aligned,Valid
2025-11-13 10:00:00-05:00,ICI,15m,SHORT,680.43,680.92,675.95,0.456,9.15,True,True,True
2025-11-14 12:30:00-05:00,ICI,15m,LONG,674.81,674.08,676.31,0.583,2.05,True,False,False
2024-04-23 00:00:00-04:00,ICI,1d,SHORT,496.45,497.96,479.01,0.557,11.55,True,True,True
2024-11-19 00:00:00-05:00,ICI,1d,SHORT,583.21,584.75,572.46,0.44,6.99,False,False,False
2025-03-27 00:00:00-04:00,ICI,1d,LONG,563.85,560.8,578.09,0.624,4.68,False,False,False
2025-05-09 00:00:00-04:00,ICI,1d,LONG,561.12,557.88,568.48,0.541,2.27,True,True,True
2025-06-05 00:00:00-04:00,ICI,1d,LONG,589.67,586.99,597.42,0.436,2.9,True,False,False
2025-07-08 00:00:00-04:00,ICI,1d,LONG,618.62,615.27,629.41,0.47,3.21,True,True,True
2025-10-30 00:00:00-04:00,ICI,1d,LONG,679.83,678.77,694.65,0.43,14.04,True,True,True
2025-11-13 00:00:00-05:00,ICI,1d,LONG,672.04,669.4,689.65,0.584,6.68,True,False,False
2025-09-08 12:30:00-04:00,ICI,1h,LONG,648.48,647.57,650.93,0.493,2.71,True,True,True
2025-10-02 12:30:00-04:00,ICI,1h,SHORT,668.51,668.89,666.06,0.477,6.5,False,False,False
2025-10-06 15:30:00-04:00,ICI,1h,LONG,671.58,671.42,673.1,0.4,9.74,True,False,False
2025-10-13 10:30:00-04:00,ICI,1h,SHORT,662.72,664.24,647.34,0.514,10.11,True,True,True
2025-10-15 14:30:00-04:00,ICI,1h,SHORT,665.36,666.38,655.95,0.63,9.19,False,False,False
2025-11-06 13:30:00-05:00,ICI,1h,SHORT,673.4,674.13,665.42,0.396,10.9,True,True,True
2025-11-11 10:30:00-05:00,ICI,1h,LONG,679.32,678.37,684.12,0.483,5.07,True,True,True
2025-11-12 12:30:00-05:00,ICI,1h,SHORT,683.49,684.12,680.1,0.73,5.42,False,False,False
2025-10-17 12:00:00-04:00,ICI,4h,SHORT,664.31,666.41,653.54,0.659,5.13,True,True,True
2025-10-22 08:00:00-04:00,ICI,4h,LONG,667.62,666.42,676.7,0.383,7.57,True,True,True
